title,rating,num_votes,year
Glass,7.1,30299,2019
Aquaman,7.5,137211,2018
Bird Box,6.7,160723,2018
Bohemian Rhapsody,8.3,195284,2018
Spider-Man: Into the Spider-Verse,8.7,84106,2018
The Upside,5.8,6453,2017
A Star Is Born,8.0,145901,2018
Solo: A Star Wars Story,7.0,196202,2018
The Favourite,7.9,28329,2018
Bumblebee,7.2,39999,2018
Unbreakable,7.3,324755,2000
The Mule,7.2,11916,2018
Green Book,8.3,28260,2018
Mary Poppins Returns,7.2,29620,2018
Roma,8.1,54490,2018
Escape Room,6.4,5219,2019
Avengers: Infinity War,8.5,572401,2018
Creed II,7.7,30107,2018
Bad Times at the El Royale,7.2,57126,2018
Ocean's Eight,6.2,121665,2018
Io,4.7,8928,2019
High Life,6.8,1006,2018
Replicas,5.5,6485,2018
Hunter Killer,6.7,17093,2018
Beautiful Boy,7.3,15956,2018
Venom,6.8,218203,2018
Black Mirror: Bandersnatch,7.4,72229,2018
How to Train Your Dragon: The Hidden World,8.2,3232,2019
First Man,7.5,82345,2018
Boy Erased,7.0,7376,2018
A Quiet Place,7.6,262896,2018
A Simple Favor,6.9,61464,2018
Ralph Breaks the Internet,7.3,39583,2018
Reign of the Supermen,7.0,2487,2019
BlacKkKlansman,7.6,87381,2018
Holmes & Watson,3.4,7337,2018
Deadpool 2,7.8,337804,2018
The Greatest Showman,7.7,184668,2017
A Dog's Way Home,6.3,1020,2019
Fantastic Beasts: The Crimes of Grindelwald,6.8,111418,2018
Crazy Rich Asians,7.0,73058,2018
The Ballad of Buster Scruggs,7.4,61551,2018
On the Basis of Sex,6.4,3008,2018
Annihilation,6.9,204333,2018
If Beale Street Could Talk,7.8,5520,2018
Stan & Ollie,7.6,3708,2018
The Old Man & the Gun,6.9,14995,2018
Red Sparrow,6.6,124086,2018
The Predator,5.4,78475,2018
Mission: Impossible - Fallout,7.8,207802,2018
Spider-Man: Homecoming,7.5,386173,2017
Hereditary,7.3,124832,2018
Harry Potter and the Sorcerer's Stone,7.6,555974,2001
Ready Player One,7.5,269231,2018
Black Panther,7.4,447563,2018
Ashes in the Snow,7.0,2438,2018
The Hate U Give,7.0,9904,2018
Night School,5.6,16035,2018
Mortal Engines,6.4,21650,2018
The Girl in the Spider's Web,6.1,12134,2018
Second Act,6.0,3741,2018
Watchmen,7.6,446333,2009
Destroyer,6.9,1794,2018
Dumplin',6.8,13184,2018
The Shape of Water,7.4,283069,2017
John Wick,7.3,414298,2014
The Godfather,9.2,1401714,1972
Mary Poppins,7.8,136422,1964
Incredibles 2,7.8,167035,2018
Mid90s,7.4,11533,2018
Justice League,6.5,309333,2017
The Dark Knight,9.0,2011232,2008
The Meg,5.7,93766,2018
White Boy Rick,6.5,10317,2018
Thor: Ragnarok,7.9,425488,2017
The Shawshank Redemption,9.3,2043809,1994
The Mummy,7.0,360844,1999
Mowgli,6.5,37116,2018
John Wick: Chapter 2,7.5,257829,2017
Eighth Grade,7.5,30307,2018
Peppermint,6.5,26760,2018
Interstellar,8.6,1251947,2014
The Nun,5.4,75387,2018
The Kid Who Would Be King,5.9,183,2019
Pulp Fiction,8.9,1596909,1994
The Sisters Brothers,7.0,15585,2018
Smallfoot,6.7,16999,2018
Instant Family,7.6,7716,2018
