,Date,Close
0,"Jan 18, 2019",71.93
1,"Jan 17, 2019",70.82
2,"Jan 16, 2019",70.03
3,"Jan 15, 2019",70.60
4,"Jan 14, 2019",69.75
5,"Jan 11, 2019",70.38
6,"Jan 10, 2019",69.90
7,"Jan 09, 2019",69.25
8,"Jan 08, 2019",67.83
9,"Jan 07, 2019",66.85
10,"Jan 04, 2019",65.46
11,"Jan 03, 2019",63.27
12,"Jan 02, 2019",65.69
13,"Dec 31, 2018",67.46
14,"Dec 28, 2018",65.96
15,"Dec 27, 2018",66.48
16,"Dec 26, 2018",65.54
17,"Dec 24, 2018",62.67
18,"Dec 21, 2018",63.29
19,"Dec 20, 2018",65.19
20,"Dec 19, 2018",66.83
21,"Dec 18, 2018",67.99
22,"Dec 17, 2018",67.85
23,"Dec 14, 2018",69.36
24,"Dec 13, 2018",71.14
25,"Dec 12, 2018",71.75
26,"Dec 11, 2018",71.05
27,"Dec 10, 2018",70.59
28,"Dec 07, 2018",70.25
29,"Dec 06, 2018",71.91
