,Date,Close
0,"Jan 18, 2019",156.82
1,"Jan 17, 2019",155.86
2,"Jan 16, 2019",154.94
3,"Jan 15, 2019",153.07
4,"Jan 14, 2019",150.00
5,"Jan 11, 2019",152.29
6,"Jan 10, 2019",153.80
7,"Jan 09, 2019",153.31
8,"Jan 08, 2019",150.75
9,"Jan 07, 2019",147.93
10,"Jan 04, 2019",148.26
11,"Jan 03, 2019",142.19
12,"Jan 02, 2019",157.92
13,"Dec 31, 2018",157.74
14,"Dec 28, 2018",156.23
15,"Dec 27, 2018",156.15
16,"Dec 26, 2018",157.17
17,"Dec 24, 2018",146.83
18,"Dec 21, 2018",150.73
19,"Dec 20, 2018",156.83
20,"Dec 19, 2018",160.89
21,"Dec 18, 2018",166.07
22,"Dec 17, 2018",163.94
23,"Dec 14, 2018",165.48
24,"Dec 13, 2018",170.95
25,"Dec 12, 2018",169.10
26,"Dec 11, 2018",168.63
27,"Dec 10, 2018",169.60
28,"Dec 07, 2018",168.49
29,"Dec 06, 2018",174.72
