,Date,Close
0,"Jan 18, 2019",333.74
1,"Jan 17, 2019",330.32
2,"Jan 16, 2019",324.13
3,"Jan 15, 2019",325.61
4,"Jan 14, 2019",315.25
5,"Jan 11, 2019",323.80
6,"Jan 10, 2019",335.13
7,"Jan 09, 2019",336.40
8,"Jan 08, 2019",318.42
9,"Jan 07, 2019",314.80
10,"Jan 04, 2019",313.44
11,"Jan 03, 2019",302.29
12,"Jan 02, 2019",309.96
13,"Dec 31, 2018",325.04
14,"Dec 28, 2018",318.17
15,"Dec 27, 2018",315.67
16,"Dec 26, 2018",307.44
17,"Dec 24, 2018",281.08
18,"Dec 21, 2018",290.29
19,"Dec 20, 2018",284.28
20,"Dec 19, 2018",296.14
21,"Dec 18, 2018",304.80
22,"Dec 17, 2018",298.77
23,"Dec 14, 2018",316.19
24,"Dec 13, 2018",319.72
25,"Dec 12, 2018",330.69
26,"Dec 11, 2018",328.13
27,"Dec 10, 2018",323.66
28,"Dec 07, 2018",317.52
29,"Dec 06, 2018",332.98
