,Date,Close
0,"Jan 18, 2019",71.42
1,"Jan 17, 2019",70.52
2,"Jan 16, 2019",69.82
3,"Jan 15, 2019",70.47
4,"Jan 14, 2019",68.27
5,"Jan 11, 2019",69.33
6,"Jan 10, 2019",69.08
7,"Jan 09, 2019",69.44
8,"Jan 08, 2019",68.30
9,"Jan 07, 2019",69.13
10,"Jan 04, 2019",68.11
11,"Jan 03, 2019",66.22
12,"Jan 02, 2019",69.50
13,"Dec 31, 2018",72.33
14,"Dec 28, 2018",71.09
15,"Dec 27, 2018",70.63
16,"Dec 26, 2018",69.62
17,"Dec 24, 2018",65.56
18,"Dec 21, 2018",67.27
19,"Dec 20, 2018",68.38
20,"Dec 19, 2018",69.00
21,"Dec 18, 2018",70.08
22,"Dec 17, 2018",69.75
23,"Dec 14, 2018",70.76
24,"Dec 13, 2018",72.18
25,"Dec 12, 2018",72.53
26,"Dec 11, 2018",71.84
27,"Dec 10, 2018",70.92
28,"Dec 07, 2018",69.95
29,"Dec 06, 2018",71.54
