,Date,Close
0,"Jan 18, 2019",91.36
1,"Jan 17, 2019",88.81
2,"Jan 16, 2019",87.00
3,"Jan 15, 2019",87.61
4,"Jan 14, 2019",87.50
5,"Jan 11, 2019",90.06
6,"Jan 10, 2019",88.61
7,"Jan 09, 2019",87.40
8,"Jan 08, 2019",85.24
9,"Jan 07, 2019",83.21
10,"Jan 04, 2019",82.69
11,"Jan 03, 2019",80.73
12,"Jan 02, 2019",85.92
13,"Dec 31, 2018",85.83
14,"Dec 28, 2018",85.46
15,"Dec 27, 2018",85.36
16,"Dec 26, 2018",84.34
17,"Dec 24, 2018",80.42
18,"Dec 21, 2018",82.32
19,"Dec 20, 2018",82.74
20,"Dec 19, 2018",83.69
21,"Dec 18, 2018",88.05
22,"Dec 17, 2018",87.31
23,"Dec 14, 2018",87.27
24,"Dec 13, 2018",88.46
25,"Dec 12, 2018",89.08
26,"Dec 11, 2018",88.64
27,"Dec 10, 2018",88.48
28,"Dec 07, 2018",86.42
29,"Dec 06, 2018",89.53
