,Date,Close
0,"Jan 18, 2019",44.26
1,"Jan 17, 2019",43.41
2,"Jan 16, 2019",43.30
3,"Jan 15, 2019",43.48
4,"Jan 14, 2019",42.85
5,"Jan 11, 2019",43.16
6,"Jan 10, 2019",43.37
7,"Jan 09, 2019",43.07
8,"Jan 08, 2019",42.70
9,"Jan 07, 2019",41.92
10,"Jan 04, 2019",41.71
11,"Jan 03, 2019",40.77
12,"Jan 02, 2019",40.95
13,"Dec 31, 2018",40.97
14,"Dec 28, 2018",40.78
15,"Dec 27, 2018",40.96
16,"Dec 26, 2018",40.67
17,"Dec 24, 2018",39.62
18,"Dec 21, 2018",40.80
19,"Dec 20, 2018",41.23
20,"Dec 19, 2018",42.40
21,"Dec 18, 2018",42.84
22,"Dec 17, 2018",43.38
23,"Dec 14, 2018",44.61
24,"Dec 13, 2018",44.93
25,"Dec 12, 2018",45.19
26,"Dec 11, 2018",44.55
27,"Dec 10, 2018",44.59
28,"Dec 07, 2018",44.46
29,"Dec 06, 2018",45.53
