,Date,Close
0,"Jan 18, 2019",135.18
1,"Jan 17, 2019",132.94
2,"Jan 16, 2019",132.76
3,"Jan 15, 2019",132.33
4,"Jan 14, 2019",130.90
5,"Jan 11, 2019",131.65
6,"Jan 10, 2019",132.46
7,"Jan 09, 2019",131.42
8,"Jan 08, 2019",131.30
9,"Jan 07, 2019",130.53
10,"Jan 04, 2019",131.24
11,"Jan 03, 2019",126.21
12,"Jan 02, 2019",130.14
13,"Dec 31, 2018",131.12
14,"Dec 28, 2018",129.23
15,"Dec 27, 2018",129.73
16,"Dec 26, 2018",127.70
17,"Dec 24, 2018",121.95
18,"Dec 21, 2018",125.37
19,"Dec 20, 2018",130.29
20,"Dec 19, 2018",130.33
21,"Dec 18, 2018",130.00
22,"Dec 17, 2018",132.47
23,"Dec 14, 2018",134.82
24,"Dec 13, 2018",138.20
25,"Dec 12, 2018",139.57
26,"Dec 11, 2018",139.99
27,"Dec 10, 2018",139.73
28,"Dec 07, 2018",139.33
29,"Dec 06, 2018",143.18
