,Date,Close
0,"Jan 18, 2019",15.55
1,"Jan 17, 2019",15.49
2,"Jan 16, 2019",15.51
3,"Jan 15, 2019",15.44
4,"Jan 14, 2019",15.04
5,"Jan 11, 2019",15.39
6,"Jan 10, 2019",15.34
7,"Jan 09, 2019",15.02
8,"Jan 08, 2019",15.05
9,"Jan 07, 2019",14.71
10,"Jan 04, 2019",14.64
11,"Jan 03, 2019",14.17
12,"Jan 02, 2019",14.18
13,"Dec 31, 2018",14.46
14,"Dec 28, 2018",14.27
15,"Dec 27, 2018",14.29
16,"Dec 26, 2018",14.28
17,"Dec 24, 2018",13.82
18,"Dec 21, 2018",14.45
19,"Dec 20, 2018",14.69
20,"Dec 19, 2018",14.74
21,"Dec 18, 2018",14.98
22,"Dec 17, 2018",14.88
23,"Dec 14, 2018",15.95
24,"Dec 13, 2018",15.78
25,"Dec 12, 2018",15.89
26,"Dec 11, 2018",15.74
27,"Dec 10, 2018",15.77
28,"Dec 07, 2018",15.53
29,"Dec 06, 2018",15.45
