,Date,Close
0,"Jan 18, 2019",47.70
1,"Jan 17, 2019",47.32
2,"Jan 16, 2019",46.81
3,"Jan 15, 2019",46.40
4,"Jan 14, 2019",45.93
5,"Jan 11, 2019",45.69
6,"Jan 10, 2019",45.77
7,"Jan 09, 2019",45.20
8,"Jan 08, 2019",45.30
9,"Jan 07, 2019",45.16
10,"Jan 04, 2019",44.92
11,"Jan 03, 2019",44.37
12,"Jan 02, 2019",45.52
13,"Dec 31, 2018",45.56
14,"Dec 28, 2018",44.95
15,"Dec 27, 2018",44.98
16,"Dec 26, 2018",44.14
17,"Dec 24, 2018",42.33
18,"Dec 21, 2018",43.23
19,"Dec 20, 2018",43.40
20,"Dec 19, 2018",43.98
21,"Dec 18, 2018",44.54
22,"Dec 17, 2018",44.32
23,"Dec 14, 2018",44.61
24,"Dec 13, 2018",45.75
25,"Dec 12, 2018",42.90
26,"Dec 11, 2018",42.64
27,"Dec 10, 2018",43.04
28,"Dec 07, 2018",43.25
29,"Dec 06, 2018",43.55
