,Date,Close
0,"Jan 18, 2019",44.16
1,"Jan 17, 2019",43.29
2,"Jan 16, 2019",43.13
3,"Jan 15, 2019",42.45
4,"Jan 14, 2019",42.00
5,"Jan 11, 2019",41.66
6,"Jan 10, 2019",41.42
7,"Jan 09, 2019",41.16
8,"Jan 08, 2019",40.57
9,"Jan 07, 2019",40.41
10,"Jan 04, 2019",40.18
11,"Jan 03, 2019",38.75
12,"Jan 02, 2019",39.62
13,"Dec 31, 2018",39.41
14,"Dec 28, 2018",38.62
15,"Dec 27, 2018",39.33
16,"Dec 26, 2018",38.59
17,"Dec 24, 2018",37.33
18,"Dec 21, 2018",37.40
19,"Dec 20, 2018",38.15
20,"Dec 19, 2018",39.34
21,"Dec 18, 2018",37.56
22,"Dec 17, 2018",37.46
23,"Dec 14, 2018",37.49
24,"Dec 13, 2018",37.29
25,"Dec 12, 2018",37.68
26,"Dec 11, 2018",36.59
27,"Dec 10, 2018",37.51
28,"Dec 07, 2018",37.90
29,"Dec 06, 2018",39.41
