,Date,Close
0,"Jan 18, 2019",46.99
1,"Jan 17, 2019",46.79
2,"Jan 16, 2019",46.24
3,"Jan 15, 2019",45.88
4,"Jan 14, 2019",45.22
5,"Jan 11, 2019",45.42
6,"Jan 10, 2019",45.20
7,"Jan 09, 2019",44.16
8,"Jan 08, 2019",44.08
9,"Jan 07, 2019",42.90
10,"Jan 04, 2019",42.87
11,"Jan 03, 2019",42.72
12,"Jan 02, 2019",42.35
13,"Dec 31, 2018",43.88
14,"Dec 28, 2018",43.48
15,"Dec 27, 2018",43.52
16,"Dec 26, 2018",43.43
17,"Dec 24, 2018",42.22
18,"Dec 21, 2018",44.38
19,"Dec 20, 2018",45.22
20,"Dec 19, 2018",45.43
21,"Dec 18, 2018",45.42
22,"Dec 17, 2018",45.13
23,"Dec 14, 2018",47.17
24,"Dec 13, 2018",46.95
25,"Dec 12, 2018",46.24
26,"Dec 11, 2018",47.35
27,"Dec 10, 2018",47.01
28,"Dec 07, 2018",47.08
29,"Dec 06, 2018",47.29
