,Date,Close
0,"Jan 18, 2019",96.38
1,"Jan 17, 2019",95.45
2,"Jan 16, 2019",94.41
3,"Jan 15, 2019",94.50
4,"Jan 14, 2019",93.60
5,"Jan 11, 2019",92.58
6,"Jan 10, 2019",92.50
7,"Jan 09, 2019",91.48
8,"Jan 08, 2019",90.92
9,"Jan 07, 2019",90.81
10,"Jan 04, 2019",90.45
11,"Jan 03, 2019",88.66
12,"Jan 02, 2019",90.10
13,"Dec 31, 2018",89.44
14,"Dec 28, 2018",88.16
15,"Dec 27, 2018",87.92
16,"Dec 26, 2018",87.07
17,"Dec 24, 2018",82.65
18,"Dec 21, 2018",85.29
19,"Dec 20, 2018",86.71
20,"Dec 19, 2018",88.40
21,"Dec 18, 2018",88.83
22,"Dec 17, 2018",90.00
23,"Dec 14, 2018",90.26
24,"Dec 13, 2018",89.97
25,"Dec 12, 2018",90.39
26,"Dec 11, 2018",90.01
27,"Dec 10, 2018",90.65
28,"Dec 07, 2018",91.03
29,"Dec 06, 2018",92.23
