,Date,Close
0,"Jan 18, 2019",74.41
1,"Jan 17, 2019",73.91
2,"Jan 16, 2019",73.72
3,"Jan 15, 2019",72.91
4,"Jan 14, 2019",72.66
5,"Jan 11, 2019",72.70
6,"Jan 10, 2019",73.69
7,"Jan 09, 2019",73.28
8,"Jan 08, 2019",72.43
9,"Jan 07, 2019",72.11
10,"Jan 04, 2019",72.32
11,"Jan 03, 2019",70.54
12,"Jan 02, 2019",71.89
13,"Dec 31, 2018",73.70
14,"Dec 28, 2018",72.52
15,"Dec 27, 2018",72.29
16,"Dec 26, 2018",71.31
17,"Dec 24, 2018",68.99
18,"Dec 21, 2018",71.06
19,"Dec 20, 2018",72.90
20,"Dec 19, 2018",73.32
21,"Dec 18, 2018",72.85
22,"Dec 17, 2018",72.41
23,"Dec 14, 2018",74.18
24,"Dec 13, 2018",75.35
25,"Dec 12, 2018",75.45
26,"Dec 11, 2018",74.92
27,"Dec 10, 2018",74.54
28,"Dec 07, 2018",74.52
29,"Dec 06, 2018",75.06
