,Date,Close
0,"Jan 18, 2019",65.79
1,"Jan 17, 2019",64.83
2,"Jan 16, 2019",63.82
3,"Jan 15, 2019",63.44
4,"Jan 14, 2019",62.69
5,"Jan 11, 2019",63.10
6,"Jan 10, 2019",63.13
7,"Jan 09, 2019",63.26
8,"Jan 08, 2019",62.45
9,"Jan 07, 2019",61.24
10,"Jan 04, 2019",59.38
11,"Jan 03, 2019",57.70
12,"Jan 02, 2019",59.01
13,"Dec 31, 2018",61.08
14,"Dec 28, 2018",61.05
15,"Dec 27, 2018",61.65
16,"Dec 26, 2018",60.98
17,"Dec 24, 2018",58.33
18,"Dec 21, 2018",59.80
19,"Dec 20, 2018",62.30
20,"Dec 19, 2018",63.02
21,"Dec 18, 2018",64.35
22,"Dec 17, 2018",64.21
23,"Dec 14, 2018",65.10
24,"Dec 13, 2018",67.25
25,"Dec 12, 2018",68.03
26,"Dec 11, 2018",67.42
27,"Dec 10, 2018",67.28
28,"Dec 07, 2018",66.65
29,"Dec 06, 2018",69.02
