,Date,Close
0,"Jan 18, 2019",76.63
1,"Jan 17, 2019",75.29
2,"Jan 16, 2019",73.93
3,"Jan 15, 2019",73.64
4,"Jan 14, 2019",76.97
5,"Jan 11, 2019",77.41
6,"Jan 10, 2019",77.27
7,"Jan 09, 2019",76.84
8,"Jan 08, 2019",77.33
9,"Jan 07, 2019",76.58
10,"Jan 04, 2019",76.24
11,"Jan 03, 2019",72.69
12,"Jan 02, 2019",78.11
13,"Dec 31, 2018",77.07
14,"Dec 28, 2018",76.74
15,"Dec 27, 2018",77.22
16,"Dec 26, 2018",76.28
17,"Dec 24, 2018",73.13
18,"Dec 21, 2018",74.84
19,"Dec 20, 2018",76.16
20,"Dec 19, 2018",79.80
21,"Dec 18, 2018",81.03
22,"Dec 17, 2018",80.51
23,"Dec 14, 2018",84.97
24,"Dec 13, 2018",87.94
25,"Dec 12, 2018",88.78
26,"Dec 11, 2018",89.08
27,"Dec 10, 2018",89.04
28,"Dec 07, 2018",88.65
29,"Dec 06, 2018",91.19
