,Date,Close
0,"Jan 18, 2019",83.51
1,"Jan 17, 2019",81.76
2,"Jan 16, 2019",81.01
3,"Jan 15, 2019",81.75
4,"Jan 14, 2019",81.77
5,"Jan 11, 2019",82.07
6,"Jan 10, 2019",82.20
7,"Jan 09, 2019",82.35
8,"Jan 08, 2019",81.44
9,"Jan 07, 2019",80.33
10,"Jan 04, 2019",79.50
11,"Jan 03, 2019",79.68
12,"Jan 02, 2019",81.05
13,"Dec 31, 2018",79.71
14,"Dec 28, 2018",78.55
15,"Dec 27, 2018",79.30
16,"Dec 26, 2018",78.61
17,"Dec 24, 2018",75.41
18,"Dec 21, 2018",78.54
19,"Dec 20, 2018",80.41
20,"Dec 19, 2018",81.98
21,"Dec 18, 2018",84.31
22,"Dec 17, 2018",83.67
23,"Dec 14, 2018",86.35
24,"Dec 13, 2018",87.44
25,"Dec 12, 2018",87.84
26,"Dec 11, 2018",87.31
27,"Dec 10, 2018",87.23
28,"Dec 07, 2018",88.67
29,"Dec 06, 2018",89.74
