,Date,Close
0,"Jan 18, 2019",117.05
1,"Jan 17, 2019",114.62
2,"Jan 16, 2019",111.70
3,"Jan 15, 2019",111.73
4,"Jan 14, 2019",107.58
5,"Jan 11, 2019",111.13
6,"Jan 10, 2019",110.93
7,"Jan 09, 2019",109.96
8,"Jan 08, 2019",108.61
9,"Jan 07, 2019",107.94
10,"Jan 04, 2019",106.00
11,"Jan 03, 2019",100.21
12,"Jan 02, 2019",98.05
13,"Dec 31, 2018",97.36
14,"Dec 28, 2018",97.21
15,"Dec 27, 2018",98.10
16,"Dec 26, 2018",97.87
17,"Dec 24, 2018",93.94
18,"Dec 21, 2018",94.63
19,"Dec 20, 2018",101.22
20,"Dec 19, 2018",102.78
21,"Dec 18, 2018",105.99
22,"Dec 17, 2018",109.53
23,"Dec 14, 2018",109.43
24,"Dec 13, 2018",112.43
25,"Dec 12, 2018",117.01
26,"Dec 11, 2018",114.83
27,"Dec 10, 2018",114.65
28,"Dec 07, 2018",115.60
29,"Dec 06, 2018",121.04
