,Date,Close
0,"Jan 18, 2019",35.71
1,"Jan 17, 2019",34.54
2,"Jan 16, 2019",33.64
3,"Jan 15, 2019",33.75
4,"Jan 14, 2019",33.86
5,"Jan 11, 2019",34.78
6,"Jan 10, 2019",34.76
7,"Jan 09, 2019",34.30
8,"Jan 08, 2019",32.91
9,"Jan 07, 2019",34.30
10,"Jan 04, 2019",33.70
11,"Jan 03, 2019",31.54
12,"Jan 02, 2019",33.48
13,"Dec 31, 2018",32.74
14,"Dec 28, 2018",32.38
15,"Dec 27, 2018",31.55
16,"Dec 26, 2018",30.64
17,"Dec 24, 2018",28.99
18,"Dec 21, 2018",30.31
19,"Dec 20, 2018",30.90
20,"Dec 19, 2018",31.53
21,"Dec 18, 2018",33.28
22,"Dec 17, 2018",32.67
23,"Dec 14, 2018",32.65
24,"Dec 13, 2018",33.71
25,"Dec 12, 2018",34.20
26,"Dec 11, 2018",34.02
27,"Dec 10, 2018",34.17
28,"Dec 07, 2018",33.64
29,"Dec 06, 2018",34.69
