,Date,Close
0,"Jan 18, 2019",108.57
1,"Jan 17, 2019",107.06
2,"Jan 16, 2019",107.15
3,"Jan 15, 2019",103.96
4,"Jan 14, 2019",102.36
5,"Jan 11, 2019",102.11
6,"Jan 10, 2019",104.07
7,"Jan 09, 2019",103.50
8,"Jan 08, 2019",102.37
9,"Jan 07, 2019",102.55
10,"Jan 04, 2019",100.65
11,"Jan 03, 2019",96.43
12,"Jan 02, 2019",98.23
13,"Dec 31, 2018",97.44
14,"Dec 28, 2018",96.01
15,"Dec 27, 2018",97.15
16,"Dec 26, 2018",95.06
17,"Dec 24, 2018",90.24
18,"Dec 21, 2018",92.42
19,"Dec 20, 2018",93.34
20,"Dec 19, 2018",92.20
21,"Dec 18, 2018",95.72
22,"Dec 17, 2018",95.46
23,"Dec 14, 2018",95.51
24,"Dec 13, 2018",98.36
25,"Dec 12, 2018",101.89
26,"Dec 11, 2018",99.42
27,"Dec 10, 2018",100.48
28,"Dec 07, 2018",103.04
29,"Dec 06, 2018",106.56
