,Date,Close
0,"Jan 18, 2019",48.01
1,"Jan 17, 2019",46.48
2,"Jan 16, 2019",45.72
3,"Jan 15, 2019",46.01
4,"Jan 14, 2019",46.40
5,"Jan 11, 2019",46.34
6,"Jan 10, 2019",46.55
7,"Jan 09, 2019",46.65
8,"Jan 08, 2019",46.01
9,"Jan 07, 2019",44.91
10,"Jan 04, 2019",44.12
11,"Jan 03, 2019",42.42
12,"Jan 02, 2019",43.47
13,"Dec 31, 2018",42.70
14,"Dec 28, 2018",42.70
15,"Dec 27, 2018",42.90
16,"Dec 26, 2018",43.17
17,"Dec 24, 2018",42.01
18,"Dec 21, 2018",41.99
19,"Dec 20, 2018",42.87
20,"Dec 19, 2018",42.71
21,"Dec 18, 2018",43.03
22,"Dec 17, 2018",42.38
23,"Dec 14, 2018",41.41
24,"Dec 13, 2018",42.24
25,"Dec 12, 2018",42.57
26,"Dec 11, 2018",42.66
27,"Dec 10, 2018",42.97
28,"Dec 07, 2018",43.91
29,"Dec 06, 2018",44.60
