,Date,Close
0,"Jan 18, 2019",32.09
1,"Jan 17, 2019",31.69
2,"Jan 16, 2019",31.21
3,"Jan 15, 2019",31.75
4,"Jan 14, 2019",31.57
5,"Jan 11, 2019",31.10
6,"Jan 10, 2019",30.96
7,"Jan 09, 2019",30.86
8,"Jan 08, 2019",29.36
9,"Jan 07, 2019",28.93
10,"Jan 04, 2019",28.32
11,"Jan 03, 2019",27.18
12,"Jan 02, 2019",27.11
13,"Dec 31, 2018",26.25
14,"Dec 28, 2018",26.34
15,"Dec 27, 2018",26.74
16,"Dec 26, 2018",27.04
17,"Dec 24, 2018",25.40
18,"Dec 21, 2018",26.55
19,"Dec 20, 2018",27.00
20,"Dec 19, 2018",28.75
21,"Dec 18, 2018",29.24
22,"Dec 17, 2018",30.17
23,"Dec 14, 2018",30.24
24,"Dec 13, 2018",31.30
25,"Dec 12, 2018",31.33
26,"Dec 11, 2018",30.57
27,"Dec 10, 2018",31.26
28,"Dec 07, 2018",33.01
29,"Dec 06, 2018",33.90
