,Date,Close
0,"Jan 18, 2019",48.67
1,"Jan 17, 2019",48.05
2,"Jan 16, 2019",46.79
3,"Jan 15, 2019",47.53
4,"Jan 14, 2019",47.15
5,"Jan 11, 2019",47.65
6,"Jan 10, 2019",48.33
7,"Jan 09, 2019",47.91
8,"Jan 08, 2019",47.34
9,"Jan 07, 2019",46.99
10,"Jan 04, 2019",46.26
11,"Jan 03, 2019",44.46
12,"Jan 02, 2019",44.69
13,"Dec 31, 2018",43.84
14,"Dec 28, 2018",43.20
15,"Dec 27, 2018",43.97
16,"Dec 26, 2018",43.85
17,"Dec 24, 2018",40.57
18,"Dec 21, 2018",42.95
19,"Dec 20, 2018",44.15
20,"Dec 19, 2018",46.79
21,"Dec 18, 2018",47.13
22,"Dec 17, 2018",49.58
23,"Dec 14, 2018",50.95
24,"Dec 13, 2018",52.49
25,"Dec 12, 2018",52.56
26,"Dec 11, 2018",51.64
27,"Dec 10, 2018",51.06
28,"Dec 07, 2018",52.06
29,"Dec 06, 2018",51.59
