,Date,Close
0,"Jan 18, 2019",82.49
1,"Jan 17, 2019",81.83
2,"Jan 16, 2019",81.35
3,"Jan 15, 2019",81.11
4,"Jan 14, 2019",81.02
5,"Jan 11, 2019",81.50
6,"Jan 10, 2019",81.82
7,"Jan 09, 2019",80.48
8,"Jan 08, 2019",79.14
9,"Jan 07, 2019",78.12
10,"Jan 04, 2019",77.54
11,"Jan 03, 2019",75.07
12,"Jan 02, 2019",79.79
13,"Dec 31, 2018",81.02
14,"Dec 28, 2018",80.47
15,"Dec 27, 2018",80.42
16,"Dec 26, 2018",78.85
17,"Dec 24, 2018",75.65
18,"Dec 21, 2018",77.27
19,"Dec 20, 2018",77.90
20,"Dec 19, 2018",79.64
21,"Dec 18, 2018",81.48
22,"Dec 17, 2018",82.54
23,"Dec 14, 2018",83.24
24,"Dec 13, 2018",84.78
25,"Dec 12, 2018",84.70
26,"Dec 11, 2018",83.88
27,"Dec 10, 2018",85.24
28,"Dec 07, 2018",83.58
29,"Dec 06, 2018",83.92
