,Date,Close
0,"Jan 18, 2019",72.93
1,"Jan 17, 2019",71.14
2,"Jan 16, 2019",70.35
3,"Jan 15, 2019",69.82
4,"Jan 14, 2019",70.37
5,"Jan 11, 2019",69.43
6,"Jan 10, 2019",70.23
7,"Jan 09, 2019",69.54
8,"Jan 08, 2019",67.01
9,"Jan 07, 2019",63.57
10,"Jan 04, 2019",62.62
11,"Jan 03, 2019",60.42
12,"Jan 02, 2019",61.15
13,"Dec 31, 2018",61.57
14,"Dec 28, 2018",61.38
15,"Dec 27, 2018",61.96
16,"Dec 26, 2018",61.74
17,"Dec 24, 2018",60.08
18,"Dec 21, 2018",61.44
19,"Dec 20, 2018",62.36
20,"Dec 19, 2018",62.00
21,"Dec 18, 2018",63.39
22,"Dec 17, 2018",64.44
23,"Dec 14, 2018",65.95
24,"Dec 13, 2018",66.69
25,"Dec 12, 2018",67.37
26,"Dec 11, 2018",66.76
27,"Dec 10, 2018",65.33
28,"Dec 07, 2018",67.09
29,"Dec 06, 2018",69.87
