,Date,Close
0,"Jan 18, 2019",124.26
1,"Jan 17, 2019",122.75
2,"Jan 16, 2019",121.90
3,"Jan 15, 2019",120.93
4,"Jan 14, 2019",119.19
5,"Jan 11, 2019",120.34
6,"Jan 10, 2019",119.57
7,"Jan 09, 2019",117.30
8,"Jan 08, 2019",116.79
9,"Jan 07, 2019",114.14
10,"Jan 04, 2019",113.44
11,"Jan 03, 2019",112.29
12,"Jan 02, 2019",111.37
13,"Dec 31, 2018",115.24
14,"Dec 28, 2018",113.94
15,"Dec 27, 2018",114.49
16,"Dec 26, 2018",113.97
17,"Dec 24, 2018",110.28
18,"Dec 21, 2018",115.34
19,"Dec 20, 2018",117.42
20,"Dec 19, 2018",119.94
21,"Dec 18, 2018",120.24
22,"Dec 17, 2018",118.75
23,"Dec 14, 2018",122.50
24,"Dec 13, 2018",123.00
25,"Dec 12, 2018",121.29
26,"Dec 11, 2018",124.63
27,"Dec 10, 2018",125.76
28,"Dec 07, 2018",126.17
29,"Dec 06, 2018",127.08
