,Date,Close
0,"Jan 18, 2019",20.34
1,"Jan 17, 2019",20.18
2,"Jan 16, 2019",20.10
3,"Jan 15, 2019",20.07
4,"Jan 14, 2019",19.37
5,"Jan 11, 2019",19.68
6,"Jan 10, 2019",19.61
7,"Jan 09, 2019",19.52
8,"Jan 08, 2019",19.47
9,"Jan 07, 2019",19.41
10,"Jan 04, 2019",18.96
11,"Jan 03, 2019",18.43
12,"Jan 02, 2019",18.56
13,"Dec 31, 2018",16.86
14,"Dec 28, 2018",16.76
15,"Dec 27, 2018",17.03
16,"Dec 26, 2018",16.84
17,"Dec 24, 2018",16.14
18,"Dec 21, 2018",16.98
19,"Dec 20, 2018",17.56
20,"Dec 19, 2018",17.92
21,"Dec 18, 2018",18.70
22,"Dec 17, 2018",19.15
23,"Dec 14, 2018",19.74
24,"Dec 13, 2018",19.94
25,"Dec 12, 2018",20.26
26,"Dec 11, 2018",20.14
27,"Dec 10, 2018",19.89
28,"Dec 07, 2018",20.29
29,"Dec 06, 2018",20.53
