,Date,Close
0,"Feb 22, 2019",99.48
1,"Feb 21, 2019",99.13
2,"Feb 20, 2019",98.00
3,"Feb 19, 2019",97.30
4,"Feb 15, 2019",97.05
5,"Feb 14, 2019",95.96
6,"Feb 13, 2019",96.59
7,"Feb 12, 2019",95.85
8,"Feb 11, 2019",96.85
9,"Feb 08, 2019",97.97
10,"Feb 07, 2019",97.03
11,"Feb 06, 2019",95.87
12,"Feb 05, 2019",96.58
13,"Feb 04, 2019",96.44
14,"Feb 01, 2019",97.22
15,"Jan 31, 2019",97.63
16,"Jan 30, 2019",95.49
17,"Jan 29, 2019",94.78
18,"Jan 28, 2019",94.33
19,"Jan 25, 2019",94.83
20,"Jan 24, 2019",96.67
21,"Jan 23, 2019",96.16
22,"Jan 22, 2019",95.20
23,"Jan 18, 2019",95.43
24,"Jan 17, 2019",94.99
25,"Jan 16, 2019",94.36
26,"Jan 15, 2019",92.61
27,"Jan 14, 2019",91.34
28,"Jan 11, 2019",91.90
29,"Jan 10, 2019",92.42
