,Date,Close
0,"Jan 18, 2019",48.65
1,"Jan 17, 2019",47.38
2,"Jan 16, 2019",47.13
3,"Jan 15, 2019",46.84
4,"Jan 14, 2019",47.29
5,"Jan 11, 2019",46.54
6,"Jan 10, 2019",51.35
7,"Jan 09, 2019",50.83
8,"Jan 08, 2019",49.97
9,"Jan 07, 2019",48.50
10,"Jan 04, 2019",47.17
11,"Jan 03, 2019",45.36
12,"Jan 02, 2019",47.03
13,"Dec 31, 2018",46.57
14,"Dec 28, 2018",46.80
15,"Dec 27, 2018",47.04
16,"Dec 26, 2018",46.42
17,"Dec 24, 2018",43.99
18,"Dec 21, 2018",45.85
19,"Dec 20, 2018",47.05
20,"Dec 19, 2018",46.33
21,"Dec 18, 2018",47.32
22,"Dec 17, 2018",47.08
23,"Dec 14, 2018",47.75
24,"Dec 13, 2018",48.51
25,"Dec 12, 2018",48.45
26,"Dec 11, 2018",48.20
27,"Dec 10, 2018",47.88
28,"Dec 07, 2018",47.23
29,"Dec 06, 2018",48.15
