,Date,Close
0,"Jan 18, 2019",184.09
1,"Jan 17, 2019",183.34
2,"Jan 16, 2019",182.16
3,"Jan 15, 2019",179.79
4,"Jan 14, 2019",178.18
5,"Jan 11, 2019",178.59
6,"Jan 10, 2019",177.99
7,"Jan 09, 2019",175.76
8,"Jan 08, 2019",174.26
9,"Jan 07, 2019",170.72
10,"Jan 04, 2019",171.20
11,"Jan 03, 2019",170.00
12,"Jan 02, 2019",169.20
13,"Dec 31, 2018",174.05
14,"Dec 28, 2018",172.67
15,"Dec 27, 2018",173.41
16,"Dec 26, 2018",173.29
17,"Dec 24, 2018",168.84
18,"Dec 21, 2018",177.04
19,"Dec 20, 2018",180.39
20,"Dec 19, 2018",180.78
21,"Dec 18, 2018",181.91
22,"Dec 17, 2018",179.87
23,"Dec 14, 2018",186.90
24,"Dec 13, 2018",186.60
25,"Dec 12, 2018",183.83
26,"Dec 11, 2018",187.92
27,"Dec 10, 2018",187.45
28,"Dec 07, 2018",188.61
29,"Dec 06, 2018",191.67
