,Date,Close
0,"Jan 18, 2019",70.63
1,"Jan 17, 2019",69.12
2,"Jan 16, 2019",68.26
3,"Jan 15, 2019",67.54
4,"Jan 14, 2019",66.12
5,"Jan 11, 2019",66.81
6,"Jan 10, 2019",67.31
7,"Jan 09, 2019",67.12
8,"Jan 08, 2019",65.99
9,"Jan 07, 2019",66.17
10,"Jan 04, 2019",66.50
11,"Jan 03, 2019",64.48
12,"Jan 02, 2019",65.30
13,"Dec 31, 2018",65.82
14,"Dec 28, 2018",65.21
15,"Dec 27, 2018",65.56
16,"Dec 26, 2018",64.13
17,"Dec 24, 2018",61.45
18,"Dec 21, 2018",62.90
19,"Dec 20, 2018",62.68
20,"Dec 19, 2018",64.05
21,"Dec 18, 2018",65.11
22,"Dec 17, 2018",64.19
23,"Dec 14, 2018",65.70
24,"Dec 13, 2018",66.95
25,"Dec 12, 2018",67.00
26,"Dec 11, 2018",66.19
27,"Dec 10, 2018",65.48
28,"Dec 07, 2018",65.02
29,"Dec 06, 2018",66.79
