,Date,Close
0,"Jan 18, 2019",49.29
1,"Jan 17, 2019",48.28
2,"Jan 16, 2019",47.54
3,"Jan 15, 2019",46.34
4,"Jan 14, 2019",46.15
5,"Jan 11, 2019",45.61
6,"Jan 10, 2019",45.86
7,"Jan 09, 2019",46.15
8,"Jan 08, 2019",45.72
9,"Jan 07, 2019",45.61
10,"Jan 04, 2019",45.25
11,"Jan 03, 2019",44.09
12,"Jan 02, 2019",44.39
13,"Dec 31, 2018",43.32
14,"Dec 28, 2018",42.95
15,"Dec 27, 2018",42.98
16,"Dec 26, 2018",42.83
17,"Dec 24, 2018",41.27
18,"Dec 21, 2018",42.38
19,"Dec 20, 2018",43.19
20,"Dec 19, 2018",43.30
21,"Dec 18, 2018",44.16
22,"Dec 17, 2018",45.15
23,"Dec 14, 2018",45.66
24,"Dec 13, 2018",46.02
25,"Dec 12, 2018",46.82
26,"Dec 11, 2018",46.56
27,"Dec 10, 2018",46.95
28,"Dec 07, 2018",47.66
29,"Dec 06, 2018",48.14
