,Date,Close
0,"Feb 22, 2019",32.73
1,"Feb 21, 2019",32.24
2,"Feb 20, 2019",32.62
3,"Feb 19, 2019",32.33
4,"Feb 15, 2019",32.45
5,"Feb 14, 2019",31.67
6,"Feb 13, 2019",31.62
7,"Feb 12, 2019",31.15
8,"Feb 11, 2019",30.55
9,"Feb 08, 2019",30.02
10,"Feb 07, 2019",30.35
11,"Feb 06, 2019",30.33
12,"Feb 05, 2019",30.51
13,"Feb 04, 2019",30.10
14,"Feb 01, 2019",29.63
15,"Jan 31, 2019",29.61
16,"Jan 30, 2019",29.09
17,"Jan 29, 2019",31.19
18,"Jan 28, 2019",31.83
19,"Jan 25, 2019",31.59
20,"Jan 24, 2019",31.33
21,"Jan 23, 2019",31.06
22,"Jan 22, 2019",31.34
23,"Jan 18, 2019",31.54
24,"Jan 17, 2019",31.07
25,"Jan 16, 2019",30.99
26,"Jan 15, 2019",30.66
27,"Jan 14, 2019",30.34
28,"Jan 11, 2019",30.33
29,"Jan 10, 2019",30.47
