,Date,Close
0,"Jan 18, 2019",24.12
1,"Jan 17, 2019",23.65
2,"Jan 16, 2019",23.15
3,"Jan 15, 2019",23.02
4,"Jan 14, 2019",23.24
5,"Jan 11, 2019",23.10
6,"Jan 10, 2019",23.35
7,"Jan 09, 2019",23.17
8,"Jan 08, 2019",23.21
9,"Jan 07, 2019",22.55
10,"Jan 04, 2019",21.96
11,"Jan 03, 2019",20.91
12,"Jan 02, 2019",21.05
13,"Dec 31, 2018",21.50
14,"Dec 28, 2018",21.44
15,"Dec 27, 2018",21.48
16,"Dec 26, 2018",21.52
17,"Dec 24, 2018",20.48
18,"Dec 21, 2018",20.87
19,"Dec 20, 2018",20.82
20,"Dec 19, 2018",21.04
21,"Dec 18, 2018",21.22
22,"Dec 17, 2018",21.62
23,"Dec 14, 2018",21.45
24,"Dec 13, 2018",22.03
25,"Dec 12, 2018",21.57
26,"Dec 11, 2018",21.29
27,"Dec 10, 2018",21.27
28,"Dec 07, 2018",21.66
29,"Dec 06, 2018",21.47
