,Date,Close
0,"Jan 18, 2019",419.45
1,"Jan 17, 2019",412.52
2,"Jan 16, 2019",413.04
3,"Jan 15, 2019",400.71
4,"Jan 14, 2019",396.42
5,"Jan 11, 2019",397.91
6,"Jan 10, 2019",399.50
7,"Jan 09, 2019",400.19
8,"Jan 08, 2019",397.91
9,"Jan 07, 2019",392.91
10,"Jan 04, 2019",391.82
11,"Jan 03, 2019",377.98
12,"Jan 02, 2019",389.42
13,"Dec 31, 2018",392.82
14,"Dec 28, 2018",388.23
15,"Dec 27, 2018",387.80
16,"Dec 26, 2018",381.23
17,"Dec 24, 2018",361.77
18,"Dec 21, 2018",369.16
19,"Dec 20, 2018",371.67
20,"Dec 19, 2018",372.19
21,"Dec 18, 2018",383.35
22,"Dec 17, 2018",378.25
23,"Dec 14, 2018",382.30
24,"Dec 13, 2018",387.27
25,"Dec 12, 2018",390.07
26,"Dec 11, 2018",385.66
27,"Dec 10, 2018",393.26
28,"Dec 07, 2018",393.10
29,"Dec 06, 2018",400.23
