,Date,Close
0,"Jan 18, 2019",50.26
1,"Jan 17, 2019",49.50
2,"Jan 16, 2019",48.44
3,"Jan 15, 2019",49.30
4,"Jan 14, 2019",48.47
5,"Jan 11, 2019",48.12
6,"Jan 10, 2019",47.65
7,"Jan 09, 2019",47.09
8,"Jan 08, 2019",46.91
9,"Jan 07, 2019",46.44
10,"Jan 04, 2019",45.59
11,"Jan 03, 2019",44.26
12,"Jan 02, 2019",44.67
13,"Dec 31, 2018",45.98
14,"Dec 28, 2018",44.80
15,"Dec 27, 2018",44.45
16,"Dec 26, 2018",43.49
17,"Dec 24, 2018",42.35
18,"Dec 21, 2018",43.62
19,"Dec 20, 2018",44.14
20,"Dec 19, 2018",45.87
21,"Dec 18, 2018",46.78
22,"Dec 17, 2018",46.65
23,"Dec 14, 2018",48.01
24,"Dec 13, 2018",48.53
25,"Dec 12, 2018",48.19
26,"Dec 11, 2018",47.83
27,"Dec 10, 2018",48.30
28,"Dec 07, 2018",48.39
29,"Dec 06, 2018",48.72
