,Date,Close
0,"Jan 18, 2019",37.69
1,"Jan 17, 2019",36.81
2,"Jan 16, 2019",36.62
3,"Jan 15, 2019",36.72
4,"Jan 14, 2019",35.31
5,"Jan 11, 2019",35.56
6,"Jan 10, 2019",35.95
7,"Jan 09, 2019",35.88
8,"Jan 08, 2019",35.38
9,"Jan 07, 2019",34.42
10,"Jan 04, 2019",34.21
11,"Jan 03, 2019",32.91
12,"Jan 02, 2019",34.46
13,"Dec 31, 2018",35.34
14,"Dec 28, 2018",34.67
15,"Dec 27, 2018",34.48
16,"Dec 26, 2018",33.68
17,"Dec 24, 2018",31.73
18,"Dec 21, 2018",32.83
19,"Dec 20, 2018",33.26
20,"Dec 19, 2018",33.98
21,"Dec 18, 2018",34.31
22,"Dec 17, 2018",34.05
23,"Dec 14, 2018",35.80
24,"Dec 13, 2018",36.98
25,"Dec 12, 2018",37.10
26,"Dec 11, 2018",36.56
27,"Dec 10, 2018",36.15
28,"Dec 07, 2018",35.48
29,"Dec 06, 2018",36.77
