,Date,Close
0,"Jan 18, 2019",121.52
1,"Jan 17, 2019",120.42
2,"Jan 16, 2019",119.83
3,"Jan 15, 2019",119.07
4,"Jan 14, 2019",118.13
5,"Jan 11, 2019",119.15
6,"Jan 10, 2019",119.22
7,"Jan 09, 2019",117.44
8,"Jan 08, 2019",115.53
9,"Jan 07, 2019",112.21
10,"Jan 04, 2019",111.51
11,"Jan 03, 2019",109.61
12,"Jan 02, 2019",109.15
13,"Dec 31, 2018",112.55
14,"Dec 28, 2018",111.93
15,"Dec 27, 2018",112.68
16,"Dec 26, 2018",112.74
17,"Dec 24, 2018",109.09
18,"Dec 21, 2018",113.47
19,"Dec 20, 2018",115.01
20,"Dec 19, 2018",118.02
21,"Dec 18, 2018",120.55
22,"Dec 17, 2018",120.05
23,"Dec 14, 2018",125.74
24,"Dec 13, 2018",125.85
25,"Dec 12, 2018",124.37
26,"Dec 11, 2018",127.08
27,"Dec 10, 2018",126.98
28,"Dec 07, 2018",129.08
29,"Dec 06, 2018",132.48
