,Date,Close
0,"Jan 18, 2019",21.57
1,"Jan 17, 2019",21.24
2,"Jan 16, 2019",21.17
3,"Jan 15, 2019",21.12
4,"Jan 14, 2019",20.85
5,"Jan 11, 2019",21.61
6,"Jan 10, 2019",21.47
7,"Jan 09, 2019",21.38
8,"Jan 08, 2019",21.44
9,"Jan 07, 2019",22.31
10,"Jan 04, 2019",21.86
11,"Jan 03, 2019",21.56
12,"Jan 02, 2019",21.33
13,"Dec 31, 2018",21.36
14,"Dec 28, 2018",21.18
15,"Dec 27, 2018",21.22
16,"Dec 26, 2018",21.43
17,"Dec 24, 2018",20.96
18,"Dec 21, 2018",22.15
19,"Dec 20, 2018",24.28
20,"Dec 19, 2018",29.09
21,"Dec 18, 2018",28.56
22,"Dec 17, 2018",29.01
23,"Dec 14, 2018",29.89
24,"Dec 13, 2018",30.38
25,"Dec 12, 2018",30.59
26,"Dec 11, 2018",30.61
27,"Dec 10, 2018",30.41
28,"Dec 07, 2018",30.84
29,"Dec 06, 2018",31.62
