,Date,Close
0,"Jan 18, 2019",49.05
1,"Jan 17, 2019",48.17
2,"Jan 16, 2019",48.42
3,"Jan 15, 2019",47.63
4,"Jan 14, 2019",47.28
5,"Jan 11, 2019",47.59
6,"Jan 10, 2019",47.59
7,"Jan 09, 2019",46.58
8,"Jan 08, 2019",46.50
9,"Jan 07, 2019",45.80
10,"Jan 04, 2019",44.92
11,"Jan 03, 2019",44.16
12,"Jan 02, 2019",45.07
13,"Dec 31, 2018",44.60
14,"Dec 28, 2018",44.58
15,"Dec 27, 2018",44.58
16,"Dec 26, 2018",44.57
17,"Dec 24, 2018",42.93
18,"Dec 21, 2018",44.44
19,"Dec 20, 2018",45.30
20,"Dec 19, 2018",46.13
21,"Dec 18, 2018",47.05
22,"Dec 17, 2018",47.93
23,"Dec 14, 2018",50.06
24,"Dec 13, 2018",52.39
25,"Dec 12, 2018",53.73
26,"Dec 11, 2018",53.54
27,"Dec 10, 2018",53.05
28,"Dec 07, 2018",53.91
29,"Dec 06, 2018",54.81
