,Date,Close
0,"Jan 18, 2019",136.60
1,"Jan 17, 2019",134.54
2,"Jan 16, 2019",131.66
3,"Jan 15, 2019",130.69
4,"Jan 14, 2019",131.80
5,"Jan 11, 2019",132.10
6,"Jan 10, 2019",132.96
7,"Jan 09, 2019",130.27
8,"Jan 08, 2019",129.77
9,"Jan 07, 2019",128.23
10,"Jan 04, 2019",128.15
11,"Jan 03, 2019",121.51
12,"Jan 02, 2019",126.38
13,"Dec 31, 2018",127.07
14,"Dec 28, 2018",125.61
15,"Dec 27, 2018",126.67
16,"Dec 26, 2018",124.76
17,"Dec 24, 2018",116.95
18,"Dec 21, 2018",120.07
19,"Dec 20, 2018",121.55
20,"Dec 19, 2018",122.33
21,"Dec 18, 2018",124.27
22,"Dec 17, 2018",124.47
23,"Dec 14, 2018",126.77
24,"Dec 13, 2018",125.90
25,"Dec 12, 2018",125.37
26,"Dec 11, 2018",123.24
27,"Dec 10, 2018",123.39
28,"Dec 07, 2018",123.55
29,"Dec 06, 2018",128.37
