,Date,Close
0,"Jan 18, 2019",44.55
1,"Jan 17, 2019",43.75
2,"Jan 16, 2019",42.98
3,"Jan 15, 2019",42.59
4,"Jan 14, 2019",42.31
5,"Jan 11, 2019",42.53
6,"Jan 10, 2019",42.09
7,"Jan 09, 2019",41.61
8,"Jan 08, 2019",41.32
9,"Jan 07, 2019",40.01
10,"Jan 04, 2019",39.45
11,"Jan 03, 2019",37.89
12,"Jan 02, 2019",39.93
13,"Dec 31, 2018",40.04
14,"Dec 28, 2018",39.89
15,"Dec 27, 2018",40.13
16,"Dec 26, 2018",39.43
17,"Dec 24, 2018",37.64
18,"Dec 21, 2018",38.73
19,"Dec 20, 2018",39.40
20,"Dec 19, 2018",40.47
21,"Dec 18, 2018",41.15
22,"Dec 17, 2018",39.46
23,"Dec 14, 2018",41.04
24,"Dec 13, 2018",41.46
25,"Dec 12, 2018",40.81
26,"Dec 11, 2018",40.97
27,"Dec 10, 2018",41.15
28,"Dec 07, 2018",41.15
29,"Dec 06, 2018",42.60
