,Date,Close
0,"Jan 18, 2019",46.62
1,"Jan 17, 2019",45.74
2,"Jan 16, 2019",45.37
3,"Jan 15, 2019",45.27
4,"Jan 14, 2019",44.38
5,"Jan 11, 2019",44.45
6,"Jan 10, 2019",44.32
7,"Jan 09, 2019",43.85
8,"Jan 08, 2019",43.67
9,"Jan 07, 2019",43.42
10,"Jan 04, 2019",43.26
11,"Jan 03, 2019",41.53
12,"Jan 02, 2019",43.23
13,"Dec 31, 2018",43.48
14,"Dec 28, 2018",43.34
15,"Dec 27, 2018",43.41
16,"Dec 26, 2018",42.59
17,"Dec 24, 2018",40.31
18,"Dec 21, 2018",40.69
19,"Dec 20, 2018",41.56
20,"Dec 19, 2018",42.09
21,"Dec 18, 2018",43.07
22,"Dec 17, 2018",42.31
23,"Dec 14, 2018",43.22
24,"Dec 13, 2018",44.11
25,"Dec 12, 2018",44.39
26,"Dec 11, 2018",43.83
27,"Dec 10, 2018",43.38
28,"Dec 07, 2018",42.67
29,"Dec 06, 2018",44.00
