,Date,Close
0,"Jan 18, 2019",97.81
1,"Jan 17, 2019",96.16
2,"Jan 16, 2019",94.65
3,"Jan 15, 2019",93.97
4,"Jan 14, 2019",94.74
5,"Jan 11, 2019",94.76
6,"Jan 10, 2019",94.43
7,"Jan 09, 2019",94.04
8,"Jan 08, 2019",93.61
9,"Jan 07, 2019",92.32
10,"Jan 04, 2019",91.46
11,"Jan 03, 2019",87.88
12,"Jan 02, 2019",91.21
13,"Dec 31, 2018",89.97
14,"Dec 28, 2018",89.49
15,"Dec 27, 2018",89.62
16,"Dec 26, 2018",87.71
17,"Dec 24, 2018",84.46
18,"Dec 21, 2018",86.89
19,"Dec 20, 2018",88.71
20,"Dec 19, 2018",84.77
21,"Dec 18, 2018",85.49
22,"Dec 17, 2018",84.41
23,"Dec 14, 2018",86.69
24,"Dec 13, 2018",87.81
25,"Dec 12, 2018",88.77
26,"Dec 11, 2018",88.52
27,"Dec 10, 2018",89.73
28,"Dec 07, 2018",91.26
29,"Dec 06, 2018",94.66
