,Date,Close
0,"Jan 18, 2019",54.06
1,"Jan 17, 2019",53.40
2,"Jan 16, 2019",53.64
3,"Jan 15, 2019",54.45
4,"Jan 14, 2019",54.04
5,"Jan 11, 2019",53.88
6,"Jan 10, 2019",54.07
7,"Jan 09, 2019",53.43
8,"Jan 08, 2019",53.13
9,"Jan 07, 2019",51.93
10,"Jan 04, 2019",52.23
11,"Jan 03, 2019",50.70
12,"Jan 02, 2019",51.87
13,"Dec 31, 2018",52.44
14,"Dec 28, 2018",52.01
15,"Dec 27, 2018",52.00
16,"Dec 26, 2018",51.56
17,"Dec 24, 2018",48.90
18,"Dec 21, 2018",49.21
19,"Dec 20, 2018",50.68
20,"Dec 19, 2018",52.07
21,"Dec 18, 2018",53.10
22,"Dec 17, 2018",54.30
23,"Dec 14, 2018",55.91
24,"Dec 13, 2018",56.77
25,"Dec 12, 2018",56.15
26,"Dec 11, 2018",54.97
27,"Dec 10, 2018",54.44
28,"Dec 07, 2018",53.73
29,"Dec 06, 2018",54.87
