,Date,Close
0,"Jan 18, 2019",44.18
1,"Jan 17, 2019",43.79
2,"Jan 16, 2019",42.59
3,"Jan 15, 2019",43.30
4,"Jan 14, 2019",43.19
5,"Jan 11, 2019",44.40
6,"Jan 10, 2019",45.05
7,"Jan 09, 2019",45.03
8,"Jan 08, 2019",45.39
9,"Jan 07, 2019",44.11
10,"Jan 04, 2019",43.96
11,"Jan 03, 2019",40.57
12,"Jan 02, 2019",42.03
13,"Dec 31, 2018",43.51
14,"Dec 28, 2018",42.37
15,"Dec 27, 2018",43.24
16,"Dec 26, 2018",42.60
17,"Dec 24, 2018",40.11
18,"Dec 21, 2018",41.03
19,"Dec 20, 2018",40.83
20,"Dec 19, 2018",41.92
21,"Dec 18, 2018",41.76
22,"Dec 17, 2018",41.37
23,"Dec 14, 2018",42.06
24,"Dec 13, 2018",41.64
25,"Dec 12, 2018",41.95
26,"Dec 11, 2018",41.35
27,"Dec 10, 2018",41.33
28,"Dec 07, 2018",41.03
29,"Dec 06, 2018",41.56
