,Date,Close
0,"Jan 18, 2019",68.36
1,"Jan 17, 2019",67.39
2,"Jan 16, 2019",67.37
3,"Jan 15, 2019",67.38
4,"Jan 14, 2019",66.69
5,"Jan 11, 2019",67.15
6,"Jan 10, 2019",67.03
7,"Jan 09, 2019",65.82
8,"Jan 08, 2019",65.72
9,"Jan 07, 2019",65.88
10,"Jan 04, 2019",65.06
11,"Jan 03, 2019",64.29
12,"Jan 02, 2019",64.43
13,"Dec 31, 2018",65.76
14,"Dec 28, 2018",65.75
15,"Dec 27, 2018",65.71
16,"Dec 26, 2018",64.86
17,"Dec 24, 2018",62.66
18,"Dec 21, 2018",64.90
19,"Dec 20, 2018",64.66
20,"Dec 19, 2018",64.76
21,"Dec 18, 2018",65.52
22,"Dec 17, 2018",65.47
23,"Dec 14, 2018",68.73
24,"Dec 13, 2018",69.18
25,"Dec 12, 2018",67.84
26,"Dec 11, 2018",68.40
27,"Dec 10, 2018",66.58
28,"Dec 07, 2018",66.81
29,"Dec 06, 2018",66.72
