,Date,Close
0,"Jan 18, 2019",88.67
1,"Jan 17, 2019",86.04
2,"Jan 16, 2019",85.02
3,"Jan 15, 2019",85.23
4,"Jan 14, 2019",85.85
5,"Jan 11, 2019",85.63
6,"Jan 10, 2019",85.44
7,"Jan 09, 2019",84.72
8,"Jan 08, 2019",83.76
9,"Jan 07, 2019",83.09
10,"Jan 04, 2019",82.69
11,"Jan 03, 2019",79.92
12,"Jan 02, 2019",82.98
13,"Dec 31, 2018",84.09
14,"Dec 28, 2018",83.21
15,"Dec 27, 2018",83.33
16,"Dec 26, 2018",82.22
17,"Dec 24, 2018",79.06
18,"Dec 21, 2018",80.87
19,"Dec 20, 2018",82.59
20,"Dec 19, 2018",83.88
21,"Dec 18, 2018",84.98
22,"Dec 17, 2018",84.84
23,"Dec 14, 2018",84.65
24,"Dec 13, 2018",84.83
25,"Dec 12, 2018",88.12
26,"Dec 11, 2018",88.07
27,"Dec 10, 2018",87.82
28,"Dec 07, 2018",87.69
29,"Dec 06, 2018",90.05
