,Date,Close
0,"Jan 18, 2019",80.35
1,"Jan 17, 2019",78.18
2,"Jan 16, 2019",77.94
3,"Jan 15, 2019",77.64
4,"Jan 14, 2019",77.60
5,"Jan 11, 2019",77.05
6,"Jan 10, 2019",77.30
7,"Jan 09, 2019",76.24
8,"Jan 08, 2019",75.48
9,"Jan 07, 2019",75.55
10,"Jan 04, 2019",75.89
11,"Jan 03, 2019",74.40
12,"Jan 02, 2019",75.62
13,"Dec 31, 2018",77.42
14,"Dec 28, 2018",76.61
15,"Dec 27, 2018",76.54
16,"Dec 26, 2018",75.39
17,"Dec 24, 2018",72.15
18,"Dec 21, 2018",75.63
19,"Dec 20, 2018",75.84
20,"Dec 19, 2018",76.39
21,"Dec 18, 2018",76.56
22,"Dec 17, 2018",77.26
23,"Dec 14, 2018",79.41
24,"Dec 13, 2018",79.70
25,"Dec 12, 2018",79.71
26,"Dec 11, 2018",79.14
27,"Dec 10, 2018",79.39
28,"Dec 07, 2018",80.14
29,"Dec 06, 2018",80.55
