,Date,Close
0,"Jan 18, 2019",183.43
1,"Jan 17, 2019",181.26
2,"Jan 16, 2019",182.29
3,"Jan 15, 2019",181.96
4,"Jan 14, 2019",178.67
5,"Jan 11, 2019",180.55
6,"Jan 10, 2019",179.85
7,"Jan 09, 2019",178.56
8,"Jan 08, 2019",182.66
9,"Jan 07, 2019",183.75
10,"Jan 04, 2019",184.68
11,"Jan 03, 2019",181.50
12,"Jan 02, 2019",185.58
13,"Dec 31, 2018",188.12
14,"Dec 28, 2018",186.11
15,"Dec 27, 2018",184.32
16,"Dec 26, 2018",182.32
17,"Dec 24, 2018",176.62
18,"Dec 21, 2018",182.65
19,"Dec 20, 2018",184.90
20,"Dec 19, 2018",185.53
21,"Dec 18, 2018",182.79
22,"Dec 17, 2018",185.59
23,"Dec 14, 2018",187.64
24,"Dec 13, 2018",187.94
25,"Dec 12, 2018",188.57
26,"Dec 11, 2018",189.51
27,"Dec 10, 2018",190.35
28,"Dec 07, 2018",187.11
29,"Dec 06, 2018",189.02
