,Date,Close
0,"Jan 18, 2019",513.24
1,"Jan 17, 2019",517.66
2,"Jan 16, 2019",514.82
3,"Jan 15, 2019",514.49
4,"Jan 14, 2019",501.99
5,"Jan 11, 2019",506.95
6,"Jan 10, 2019",509.62
7,"Jan 09, 2019",498.48
8,"Jan 08, 2019",497.37
9,"Jan 07, 2019",485.15
10,"Jan 04, 2019",455.00
11,"Jan 03, 2019",439.45
12,"Jan 02, 2019",443.36
13,"Dec 31, 2018",431.79
14,"Dec 28, 2018",424.19
15,"Dec 27, 2018",414.55
16,"Dec 26, 2018",405.72
17,"Dec 24, 2018",385.84
18,"Dec 21, 2018",394.42
19,"Dec 20, 2018",400.77
20,"Dec 19, 2018",427.05
21,"Dec 18, 2018",443.80
22,"Dec 17, 2018",443.50
23,"Dec 14, 2018",457.83
24,"Dec 13, 2018",472.73
25,"Dec 12, 2018",471.31
26,"Dec 11, 2018",472.35
27,"Dec 10, 2018",475.15
28,"Dec 07, 2018",467.43
29,"Dec 06, 2018",469.94
