,Date,Close
0,"Jan 18, 2019",50.88
1,"Jan 17, 2019",50.98
2,"Jan 16, 2019",50.54
3,"Jan 15, 2019",50.22
4,"Jan 14, 2019",49.36
5,"Jan 11, 2019",49.73
6,"Jan 10, 2019",49.82
7,"Jan 09, 2019",48.86
8,"Jan 08, 2019",49.33
9,"Jan 07, 2019",48.60
10,"Jan 04, 2019",48.85
11,"Jan 03, 2019",48.40
12,"Jan 02, 2019",48.31
13,"Dec 31, 2018",49.65
14,"Dec 28, 2018",49.37
15,"Dec 27, 2018",49.44
16,"Dec 26, 2018",48.88
17,"Dec 24, 2018",48.25
18,"Dec 21, 2018",51.17
19,"Dec 20, 2018",51.12
20,"Dec 19, 2018",51.12
21,"Dec 18, 2018",51.19
22,"Dec 17, 2018",51.40
23,"Dec 14, 2018",52.89
24,"Dec 13, 2018",53.48
25,"Dec 12, 2018",52.73
26,"Dec 11, 2018",53.16
27,"Dec 10, 2018",53.14
28,"Dec 07, 2018",52.93
29,"Dec 06, 2018",52.91
