,Date,Close
0,"Jan 18, 2019",29.44
1,"Jan 17, 2019",29.54
2,"Jan 16, 2019",29.52
3,"Jan 15, 2019",29.29
4,"Jan 14, 2019",29.20
5,"Jan 11, 2019",29.38
6,"Jan 10, 2019",29.51
7,"Jan 09, 2019",28.98
8,"Jan 08, 2019",29.34
9,"Jan 07, 2019",28.79
10,"Jan 04, 2019",28.68
11,"Jan 03, 2019",28.16
12,"Jan 02, 2019",28.00
13,"Dec 31, 2018",28.23
14,"Dec 28, 2018",28.00
15,"Dec 27, 2018",28.09
16,"Dec 26, 2018",27.65
17,"Dec 24, 2018",27.22
18,"Dec 21, 2018",28.37
19,"Dec 20, 2018",28.40
20,"Dec 19, 2018",28.39
21,"Dec 18, 2018",28.30
22,"Dec 17, 2018",28.91
23,"Dec 14, 2018",29.30
24,"Dec 13, 2018",29.34
25,"Dec 12, 2018",28.89
26,"Dec 11, 2018",28.78
27,"Dec 10, 2018",28.46
28,"Dec 07, 2018",28.38
29,"Dec 06, 2018",28.17
