,Date,Close
0,"Jan 18, 2019",7.53
1,"Jan 17, 2019",7.43
2,"Jan 16, 2019",7.23
3,"Jan 15, 2019",7.29
4,"Jan 14, 2019",7.19
5,"Jan 11, 2019",7.24
6,"Jan 10, 2019",7.19
7,"Jan 09, 2019",7.36
8,"Jan 08, 2019",7.52
9,"Jan 07, 2019",7.55
10,"Jan 04, 2019",7.16
11,"Jan 03, 2019",6.79
12,"Jan 02, 2019",6.95
13,"Dec 31, 2018",6.56
14,"Dec 28, 2018",6.49
15,"Dec 27, 2018",6.34
16,"Dec 26, 2018",6.40
17,"Dec 24, 2018",6.11
18,"Dec 21, 2018",6.16
19,"Dec 20, 2018",6.48
20,"Dec 19, 2018",6.96
21,"Dec 18, 2018",7.10
22,"Dec 17, 2018",7.07
23,"Dec 14, 2018",7.31
24,"Dec 13, 2018",7.60
25,"Dec 12, 2018",7.75
26,"Dec 11, 2018",7.58
27,"Dec 10, 2018",7.59
28,"Dec 07, 2018",7.50
29,"Dec 06, 2018",7.67
