,Date,Close
0,"Jan 18, 2019",42.42
1,"Jan 17, 2019",41.09
2,"Jan 16, 2019",40.41
3,"Jan 15, 2019",40.32
4,"Jan 14, 2019",40.22
5,"Jan 11, 2019",40.21
6,"Jan 10, 2019",40.28
7,"Jan 09, 2019",41.87
8,"Jan 08, 2019",40.92
9,"Jan 07, 2019",40.00
10,"Jan 04, 2019",38.96
11,"Jan 03, 2019",37.12
12,"Jan 02, 2019",38.97
13,"Dec 31, 2018",37.92
14,"Dec 28, 2018",37.18
15,"Dec 27, 2018",37.87
16,"Dec 26, 2018",37.76
17,"Dec 24, 2018",36.03
18,"Dec 21, 2018",36.41
19,"Dec 20, 2018",37.09
20,"Dec 19, 2018",37.92
21,"Dec 18, 2018",37.98
22,"Dec 17, 2018",38.10
23,"Dec 14, 2018",37.94
24,"Dec 13, 2018",37.49
25,"Dec 12, 2018",38.83
26,"Dec 11, 2018",38.45
27,"Dec 10, 2018",39.63
28,"Dec 07, 2018",40.48
29,"Dec 06, 2018",42.92
