,Date,Close
0,"Jan 18, 2019",50.06
1,"Jan 17, 2019",49.74
2,"Jan 16, 2019",49.32
3,"Jan 15, 2019",49.36
4,"Jan 14, 2019",49.92
5,"Jan 11, 2019",50.66
6,"Jan 10, 2019",50.60
7,"Jan 09, 2019",50.30
8,"Jan 08, 2019",49.63
9,"Jan 07, 2019",48.83
10,"Jan 04, 2019",48.56
11,"Jan 03, 2019",46.89
12,"Jan 02, 2019",47.68
13,"Dec 31, 2018",47.78
14,"Dec 28, 2018",47.52
15,"Dec 27, 2018",47.82
16,"Dec 26, 2018",47.43
17,"Dec 24, 2018",44.94
18,"Dec 21, 2018",45.90
19,"Dec 20, 2018",46.86
20,"Dec 19, 2018",47.04
21,"Dec 18, 2018",46.96
22,"Dec 17, 2018",47.19
23,"Dec 14, 2018",48.04
24,"Dec 13, 2018",49.38
25,"Dec 12, 2018",49.26
26,"Dec 11, 2018",48.56
27,"Dec 10, 2018",48.34
28,"Dec 07, 2018",47.28
29,"Dec 06, 2018",49.04
