,Date,Close
0,"Feb 22, 2019",161.31
1,"Feb 21, 2019",159.63
2,"Feb 20, 2019",158.54
3,"Feb 19, 2019",160.61
4,"Feb 15, 2019",159.05
5,"Feb 14, 2019",159.47
6,"Feb 13, 2019",160.40
7,"Feb 12, 2019",162.79
8,"Feb 11, 2019",159.91
9,"Feb 08, 2019",156.67
10,"Feb 07, 2019",154.93
11,"Feb 06, 2019",158.13
12,"Feb 05, 2019",158.99
13,"Feb 04, 2019",157.72
14,"Feb 01, 2019",155.87
15,"Jan 31, 2019",151.97
16,"Jan 30, 2019",149.16
17,"Jan 29, 2019",145.18
18,"Jan 28, 2019",147.33
19,"Jan 25, 2019",149.74
20,"Jan 24, 2019",146.87
21,"Jan 23, 2019",149.75
22,"Jan 22, 2019",148.95
23,"Jan 18, 2019",152.51
24,"Jan 17, 2019",149.82
25,"Jan 16, 2019",148.54
26,"Jan 15, 2019",149.19
27,"Jan 14, 2019",146.05
28,"Jan 11, 2019",147.55
29,"Jan 10, 2019",147.04
