,Date,Close
0,"Jan 18, 2019",67.36
1,"Jan 17, 2019",65.09
2,"Jan 16, 2019",65.38
3,"Jan 15, 2019",65.11
4,"Jan 14, 2019",65.27
5,"Jan 11, 2019",65.22
6,"Jan 10, 2019",64.69
7,"Jan 09, 2019",63.98
8,"Jan 08, 2019",63.35
9,"Jan 07, 2019",62.45
10,"Jan 04, 2019",62.79
11,"Jan 03, 2019",60.98
12,"Jan 02, 2019",61.95
13,"Dec 31, 2018",62.13
14,"Dec 28, 2018",62.08
15,"Dec 27, 2018",62.06
16,"Dec 26, 2018",61.72
17,"Dec 24, 2018",58.76
18,"Dec 21, 2018",60.70
19,"Dec 20, 2018",61.61
20,"Dec 19, 2018",62.05
21,"Dec 18, 2018",63.89
22,"Dec 17, 2018",64.68
23,"Dec 14, 2018",65.83
24,"Dec 13, 2018",68.84
25,"Dec 12, 2018",68.88
26,"Dec 11, 2018",68.09
27,"Dec 10, 2018",68.30
28,"Dec 07, 2018",68.03
29,"Dec 06, 2018",69.82
