,Date,Close
0,"Jan 18, 2019",15.83
1,"Jan 17, 2019",15.34
2,"Jan 16, 2019",15.99
3,"Jan 15, 2019",16.19
4,"Jan 14, 2019",16.22
5,"Jan 11, 2019",16.27
6,"Jan 10, 2019",16.00
7,"Jan 09, 2019",16.17
8,"Jan 08, 2019",16.72
9,"Jan 07, 2019",16.30
10,"Jan 04, 2019",15.95
11,"Jan 03, 2019",15.51
12,"Jan 02, 2019",15.44
13,"Dec 31, 2018",15.15
14,"Dec 28, 2018",15.27
15,"Dec 27, 2018",15.25
16,"Dec 26, 2018",15.30
17,"Dec 24, 2018",14.52
18,"Dec 21, 2018",14.90
19,"Dec 20, 2018",15.47
20,"Dec 19, 2018",16.08
21,"Dec 18, 2018",16.33
22,"Dec 17, 2018",16.34
23,"Dec 14, 2018",17.00
24,"Dec 13, 2018",16.88
25,"Dec 12, 2018",17.32
26,"Dec 11, 2018",16.97
27,"Dec 10, 2018",17.05
28,"Dec 07, 2018",17.47
29,"Dec 06, 2018",17.48
