,Date,Close
0,"Jan 18, 2019",65.52
1,"Jan 17, 2019",63.37
2,"Jan 16, 2019",63.92
3,"Jan 15, 2019",63.74
4,"Jan 14, 2019",65.34
5,"Jan 11, 2019",65.81
6,"Jan 10, 2019",65.55
7,"Jan 09, 2019",66.04
8,"Jan 08, 2019",68.53
9,"Jan 07, 2019",68.61
10,"Jan 04, 2019",66.82
11,"Jan 03, 2019",65.23
12,"Jan 02, 2019",65.58
13,"Dec 31, 2018",65.52
14,"Dec 28, 2018",65.19
15,"Dec 27, 2018",65.24
16,"Dec 26, 2018",65.41
17,"Dec 24, 2018",62.92
18,"Dec 21, 2018",63.70
19,"Dec 20, 2018",66.48
20,"Dec 19, 2018",68.59
21,"Dec 18, 2018",69.56
22,"Dec 17, 2018",70.69
23,"Dec 14, 2018",71.88
24,"Dec 13, 2018",73.37
25,"Dec 12, 2018",74.50
26,"Dec 11, 2018",73.41
27,"Dec 10, 2018",73.34
28,"Dec 07, 2018",74.09
29,"Dec 06, 2018",76.57
