,Date,Close
0,"Jan 18, 2019",124.87
1,"Jan 17, 2019",125.22
2,"Jan 16, 2019",123.63
3,"Jan 15, 2019",122.43
4,"Jan 14, 2019",121.54
5,"Jan 11, 2019",120.45
6,"Jan 10, 2019",122.33
7,"Jan 09, 2019",122.94
8,"Jan 08, 2019",119.45
9,"Jan 07, 2019",115.02
10,"Jan 04, 2019",112.10
11,"Jan 03, 2019",106.86
12,"Jan 02, 2019",106.69
13,"Dec 31, 2018",102.79
14,"Dec 28, 2018",101.81
15,"Dec 27, 2018",102.85
16,"Dec 26, 2018",102.57
17,"Dec 24, 2018",94.90
18,"Dec 21, 2018",99.85
19,"Dec 20, 2018",101.57
20,"Dec 19, 2018",104.78
21,"Dec 18, 2018",104.90
22,"Dec 17, 2018",109.78
23,"Dec 14, 2018",115.02
24,"Dec 13, 2018",120.67
25,"Dec 12, 2018",122.21
26,"Dec 11, 2018",121.85
27,"Dec 10, 2018",120.45
28,"Dec 07, 2018",122.41
29,"Dec 06, 2018",120.82
