,Date,Close
0,"Jan 18, 2019",66.37
1,"Jan 17, 2019",64.54
2,"Jan 16, 2019",64.36
3,"Jan 15, 2019",62.94
4,"Jan 14, 2019",63.19
5,"Jan 11, 2019",62.54
6,"Jan 10, 2019",62.49
7,"Jan 09, 2019",62.13
8,"Jan 08, 2019",61.50
9,"Jan 07, 2019",61.39
10,"Jan 04, 2019",61.29
11,"Jan 03, 2019",58.41
12,"Jan 02, 2019",59.41
13,"Dec 31, 2018",58.98
14,"Dec 28, 2018",58.31
15,"Dec 27, 2018",58.87
16,"Dec 26, 2018",58.13
17,"Dec 24, 2018",55.09
18,"Dec 21, 2018",56.40
19,"Dec 20, 2018",57.99
20,"Dec 19, 2018",58.40
21,"Dec 18, 2018",59.52
22,"Dec 17, 2018",59.90
23,"Dec 14, 2018",61.82
24,"Dec 13, 2018",63.26
25,"Dec 12, 2018",64.15
26,"Dec 11, 2018",63.67
27,"Dec 10, 2018",64.74
28,"Dec 07, 2018",64.84
29,"Dec 06, 2018",66.49
