,Date,Close
0,"Feb 22, 2019",87.80
1,"Feb 21, 2019",87.81
2,"Feb 20, 2019",88.94
3,"Feb 19, 2019",88.05
4,"Feb 15, 2019",87.81
5,"Feb 14, 2019",85.50
6,"Feb 13, 2019",89.88
7,"Feb 12, 2019",89.26
8,"Feb 11, 2019",88.25
9,"Feb 08, 2019",89.09
10,"Feb 07, 2019",89.74
11,"Feb 06, 2019",87.66
12,"Feb 05, 2019",87.49
13,"Feb 04, 2019",87.93
14,"Feb 01, 2019",87.68
15,"Jan 31, 2019",87.35
16,"Jan 30, 2019",86.92
17,"Jan 29, 2019",86.15
18,"Jan 28, 2019",85.49
19,"Jan 25, 2019",85.41
20,"Jan 24, 2019",85.60
21,"Jan 23, 2019",86.31
22,"Jan 22, 2019",86.18
23,"Jan 18, 2019",87.04
24,"Jan 17, 2019",85.10
25,"Jan 16, 2019",84.27
26,"Jan 15, 2019",85.03
27,"Jan 14, 2019",83.48
28,"Jan 11, 2019",85.03
29,"Jan 10, 2019",84.73
