,Date,Close
0,"Jan 18, 2019",37.18
1,"Jan 17, 2019",37.61
2,"Jan 16, 2019",37.85
3,"Jan 15, 2019",38.48
4,"Jan 14, 2019",38.42
5,"Jan 11, 2019",39.60
6,"Jan 10, 2019",39.11
7,"Jan 09, 2019",39.58
8,"Jan 08, 2019",37.25
9,"Jan 07, 2019",37.40
10,"Jan 04, 2019",36.75
11,"Jan 03, 2019",35.13
12,"Jan 02, 2019",35.27
13,"Dec 31, 2018",34.66
14,"Dec 28, 2018",34.59
15,"Dec 27, 2018",34.56
16,"Dec 26, 2018",34.18
17,"Dec 24, 2018",32.96
18,"Dec 21, 2018",33.62
19,"Dec 20, 2018",35.06
20,"Dec 19, 2018",35.64
21,"Dec 18, 2018",36.04
22,"Dec 17, 2018",35.30
23,"Dec 14, 2018",35.50
24,"Dec 13, 2018",36.08
25,"Dec 12, 2018",35.97
26,"Dec 11, 2018",35.74
27,"Dec 10, 2018",35.92
28,"Dec 07, 2018",36.46
29,"Dec 06, 2018",36.96
